model,mean_accuracy_across_subjects,std_accuracy_across_subjects,mean_cv_std
CSP + LDA,0.7377777777777779,0.211648438993523,0.1400475745014242
CSP + Logistic Regression,0.7413333333333333,0.22022771604314534,0.12871650064136236
CSP + SVM,0.7453333333333333,0.21744645999179424,0.1295640258341167
